subject,predicate,object,start_date,end_date
Afonso Henriques,heldPosition,Monarch of Portugal,1139-08-01,1185-12-13
Sancho I de Portugal,heldPosition,Monarch of Portugal,1185-12-13,1211-04-02
Afonso II de Portugal,heldPosition,Monarch of Portugal,1211-04-02,1223-04-01
Sancho II de Portugal,heldPosition,Monarch of Portugal,1223-04-02,1247-12-11
Afonso III de Portugal,heldPosition,Monarch of Portugal,1248-01-11,1279-02-23
Diniz I de Portugal,heldPosition,Monarch of Portugal,1279-02-23,1325-01-15
Afonso IV de Portugal,heldPosition,Monarch of Portugal,1325-01-15,1357-06-05
Pedro I de Portugal,heldPosition,Monarch of Portugal,1357-06-05,1367-01-26
Fernando I de Portugal,heldPosition,Monarch of Portugal,1367-01-26,1383-10-30
João I de Portugal,heldPosition,Monarch of Portugal,1385-04-14,1433-08-23
Duarte I de Portugal,heldPosition,Monarch of Portugal,1433-08-24,1438-09-18
Afonso V de Portugal,heldPosition,Monarch of Portugal,1438-09-22,1481-09-06
João II de Portugal,heldPosition,Monarch of Portugal,1477-11-19,1477-11-23
João II de Portugal,heldPosition,Monarch of Portugal,1481-09-06,1495-11-03
Manuel I de Portugal,heldPosition,Monarch of Portugal,1495-11-03,1521-12-23
João III de Portugal,heldPosition,Monarch of Portugal,1521-12-23,1557-06-21
Sebastião de Portugal,heldPosition,Monarch of Portugal,1557-06-21,1578-08-14
Henrique I de Portugal,heldPosition,Monarch of Portugal,1578-08-14,1580-02-10
"António de Portugal, Prior do Crato",heldPosition,Monarch of Portugal,1580-06-29,1580-09-04
Filipe II de Espanha,heldPosition,Monarch of Portugal,1580-09-22,1598-09-13
Filipe III de Espanha,heldPosition,Monarch of Portugal,1598-09-13,1621-03-31
Filipe IV de Espanha,heldPosition,Monarch of Portugal,1621-03-31,1640-12-01
João IV de Portugal,heldPosition,Monarch of Portugal,1640-12-01,1656-11-06
Afonso VI de Portugal,heldPosition,Monarch of Portugal,1656-11-06,1683-09-12
Pedro II de Portugal,heldPosition,Monarch of Portugal,1683-01-01,1706-01-01
D. João V,heldPosition,Monarch of Portugal,1706-01-01,1750-01-01
José I de Portugal,heldPosition,Monarch of Portugal,1750-01-01,1777-01-01
Maria I de Portugal,heldPosition,Monarch of Portugal,1777-01-01,1816-01-01
João VI de Portugal,heldPosition,Monarch of Portugal,1816-01-01,1826-01-01
Pedro I do Brasil,heldPosition,Monarch of Portugal,1826-03-10,1826-05-12
Maria II de Portugal,heldPosition,Monarch of Portugal,1826-05-02,1828-06-23
Miguel I de Portugal,heldPosition,Monarch of Portugal,1828-06-28,1834-05-26
Maria II de Portugal,heldPosition,Monarch of Portugal,1834-05-26,1853-11-15
Pedro V de Portugal,heldPosition,Monarch of Portugal,1853-11-11,1861-11-11
Luís I de Portugal,heldPosition,Monarch of Portugal,1861-01-01,1889-01-01
Carlos I de Portugal,heldPosition,Monarch of Portugal,1889-10-19,1908-02-01
Manuel II de Portugal,heldPosition,Monarch of Portugal,1908-01-01,1910-01-01
